nickel,lead,iron,gold,copper,aluminium,zinc,uranium,tin,silver
-1.53,1.70,0.00,1.19,2.07,2.30,0.33,3.91,-0.06,-4.37
7.06,0.08,0.00,3.75,3.66,5.74,8.87,7.96,0.31,11.33
-2.01,3.59,0.00,4.50,4.02,-0.71,3.12,0.60,-0.05,5.14
-2.30,0.62,0.00,0.61,0.30,1.96,7.44,1.49,-6.25,-5.19
5.80,-1.86,71.51,-4.08,0.90,-0.90,5.36,0.20,-9.06,-6.58
5.85,1.96,0.00,-0.16,2.49,2.54,6.23,3.21,5.20,6.27
5.35,2.95,0.00,2.48,4.06,5.56,3.84,3.02,4.14,2.76
-0.63,-2.12,0.00,-1.06,0.32,-4.81,-5.54,5.95,-3.65,-1.52
5.35,0.49,0.00,-1.71,-4.36,-7.96,-4.03,22.08,-0.42,-1.46
-5.23,-0.27,0.00,2.08,8.88,-0.55,2.21,2.65,-6.11,4.02
-9.47,-12.73,0.00,-1.44,2.23,2.96,-5.99,0.97,-5.57,-3.99
2.57,3.49,0.00,3.17,5.08,4.94,8.68,1.26,0.66,-0.24
-5.40,5.11,0.00,4.14,1.55,-1.79,7.37,2.63,-6.33,2.36
-12.18,7.14,0.00,3.04,5.34,5.25,6.20,7.62,-5.24,7.03
-1.58,1.85,0.00,1.44,5.47,6.35,8.59,2.47,-3.77,2.14
10.26,10.05,0.00,7.01,6.99,9.43,12.96,5.87,9.54,10.47
8.68,12.32,19.00,7.79,3.64,5.88,14.97,3.43,4.51,5.73
2.14,0.74,0.00,0.93,4.87,2.94,6.12,2.56,10.21,3.66
-0.33,-5.80,0.00,0.38,2.99,-0.85,9.37,5.52,2.06,8.97
20.79,-1.95,0.00,9.61,25.00,7.87,26.39,3.34,11.46,21.75
17.21,-0.26,0.00,10.60,25.84,8.70,15.52,2.87,-0.75,5.91
-2.58,-17.46,0.00,-11.73,-10.38,-12.66,-9.79,4.47,-10.63,-19.47
27.20,9.30,0.00,6.30,6.98,0.84,3.85,5.28,6.33,4.07
16.36,11.97,0.00,-0.18,-0.47,-2.00,0.58,2.02,0.96,9.29
-2.51,14.18,0.00,-5.44,-0.88,0.93,1.62,10.54,6.38,-5.34
9.59,13.30,0.00,-2.07,-1.64,6.95,12.83,6.90,9.30,0.14
-2.03,6.58,0.00,7.18,-6.24,1.69,14.34,9.60,2.33,11.79
7.87,5.11,0.00,0.31,-4.96,4.50,0.06,8.35,10.83,2.42
7.04,-2.62,9.51,0.22,-14.84,-0.87,-13.62,8.16,1.85,-3.25
11.56,6.65,0.00,5.32,0.51,1.43,-12.25,5.90,13.76,8.39
12.29,7.54,0.00,-1.48,13.07,-2.89,-1.96,17.30,6.96,-5.62
8.31,3.94,0.00,3.74,19.92,2.18,9.54,23.47,1.20,4.33
3.66,6.14,0.00,-1.78,-0.97,-0.44,7.87,7.86,1.50,-3.97
-19.76,15.70,0.00,-1.75,-2.13,-4.40,-5.69,14.36,-0.59,-0.25
-19.62,26.09,0.00,1.48,6.21,2.12,-2.27,-3.46,4.64,-1.67
-17.22,1.39,0.00,0.00,-6.02,-8.24,-8.52,-16.65,2.13,-4.66
6.87,3.62,0.00,7.10,2.28,-4.68,-10.99,-22.45,-0.38,4.84
5.44,15.32,0.00,5.89,4.55,2.07,3.20,-8.82,7.20,6.13
-2.09,-10.82,0.00,6.84,-13.26,2.56,-14.27,18.71,3.69,6.93
-14.59,-21.20,0.00,-0.38,-4.70,-4.96,-6.89,-0.22,-2.50,-2.45
6.61,0.22,65.98,10.76,6.76,3.08,-0.60,-4.62,0.41,12.20
1.04,17.84,0.00,3.68,12.18,13.39,3.98,-13.20,5.88,10.01
10.79,-2.48,0.00,5.00,6.21,8.16,2.14,-3.01,14.65,8.77
-7.45,-5.91,0.00,-6.06,3.32,-1.46,-9.27,-5.79,9.33,-8.87
-10.84,-21.83,0.00,-2.31,-4.11,-2.01,-4.40,-11.19,10.20,-2.64
-12.06,-16.05,0.00,0.09,-0.77,2.05,-12.49,-4.33,-7.21,-0.06
-10.88,5.35,0.00,5.65,1.39,3.36,-2.61,4.81,3.71,6.01
-4.95,-2.92,0.00,-10.72,-9.20,-9.94,-6.56,4.30,-13.16,-19.30
-6.96,-1.60,0.00,-1.08,-8.63,-8.63,0.57,-2.33,-8.17,-16.36
-31.70,-20.19,0.00,-2.81,-29.82,-15.93,-25.31,-22.86,-21.21,-14.48
-11.27,-13.91,0.00,-5.67,-23.81,-12.48,-10.26,3.91,-5.19,-5.36
-8.63,-24.74,15.10,7.26,-16.74,-18.99,-4.83,7.58,-17.42,4.55
17.43,18.25,3.62,5.22,5.00,-5.59,8.05,-5.32,2.40,10.49
-9.96,-3.95,4.25,9.82,2.09,-5.79,-7.03,-8.63,-4.22,17.88
-6.72,13.36,-15.24,-1.99,13.29,0.00,9.41,-7.70,-3.48,-2.39
16.69,11.82,-6.70,-3.69,17.66,7.00,13.48,-3.83,10.67,-4.54
12.64,4.00,4.87,4.32,3.56,2.28,7.47,16.40,17.26,12.72
17.23,15.07,14.31,1.83,9.11,8.33,4.26,6.05,8.20,3.88
7.10,0.38,17.15,-1.21,4.54,5.55,1.76,-3.50,-7.37,-8.68
20.91,13.05,16.34,1.62,17.86,15.13,14.86,-5.05,6.17,7.80
-10.17,16.50,-17.36,4.97,0.31,-4.77,3.36,-6.17,1.18,14.24
6.23,1.01,7.53,4.67,1.78,2.18,10.20,4.13,0.68,4.73
-8.54,3.40,14.37,8.04,5.97,4.31,6.07,-2.95,-0.47,3.55
1.24,0.99,6.03,0.68,4.41,11.49,8.08,-0.69,4.16,-1.30
7.50,1.11,19.63,-1.48,5.60,2.24,1.71,-1.37,13.61,0.60
3.56,-9.62,1.36,-2.02,-6.78,-7.93,-10.60,-3.95,-7.67,-10.58
17.87,1.74,9.52,1.64,8.73,7.66,5.49,-2.83,7.07,8.08
15.85,5.06,23.40,3.18,3.52,4.69,3.96,1.03,6.43,5.91
-15.75,-17.40,-6.45,4.94,-11.47,-11.65,-16.80,-0.07,-5.74,1.40
-11.49,-9.03,-10.98,2.28,-4.99,-5.64,-11.34,-1.26,-1.75,0.61
0.71,8.01,-12.02,-3.24,3.83,3.09,5.76,2.84,5.50,-3.21
9.72,12.95,15.02,1.91,8.18,6.10,10.85,9.82,13.88,3.08
5.79,5.28,-3.24,4.54,5.85,2.88,5.05,1.32,9.46,11.46
4.86,8.70,5.58,5.59,7.25,7.87,10.35,4.63,15.61,13.86
-4.02,-0.78,8.13,2.08,2.03,-0.77,-3.80,17.06,-3.18,13.22
5.53,2.04,4.97,1.51,8.21,1.40,0.18,6.07,2.76,10.54
6.31,7.08,6.59,-2.46,4.16,3.52,3.87,5.36,5.12,-2.80
10.89,0.45,4.20,1.20,3.65,3.10,4.11,1.75,15.23,8.08
-5.99,1.10,-9.52,3.73,-3.82,1.60,-5.34,-2.31,-3.25,16.49
-1.42,3.63,5.85,3.92,-0.22,4.38,1.28,-8.94,5.74,19.06
-8.23,-11.02,-1.20,2.22,-5.81,-3.01,-8.93,-3.04,-11.67,-13.36
-7.22,4.35,-3.51,1.06,1.51,-1.14,3.47,-1.18,-10.68,-3.34
6.36,6.18,1.23,2.85,6.44,-1.26,7.31,-4.71,7.36,6.36
-8.32,-10.74,2.58,11.77,-6.76,-5.72,-8.28,-3.96,-12.20,5.73
-6.80,-4.40,-0.12,0.78,-7.76,-3.68,-5.64,2.52,-6.36,-5.39
-6.57,-14.31,-15.12,-5.97,-10.91,-4.92,-9.82,0.69,-2.92,-15.91
-6.12,1.73,-9.90,4.38,2.53,-4.62,3.41,1.62,-2.64,3.75
2.09,1.52,0.68,-5.54,-0.29,-2.67,-1.25,-1.90,-8.95,-9.42
